ic,cut,binarized,energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
0,10.0,1,-8.0,9.168746786277615e-11,9.168731281320624e-11,3.14159265336844,2.213530403423696e-10,-3.14159265368148,3.141592653498106,2.2135296219160843e-10,3.1415926533684404
1,10.0,1,-8.0,-3.1415926543829875,7.931944056855132e-10,-3.141592653918345,3.1415926532612417,7.931943930137621e-10,3.1415926527965987,3.2855198978134436e-10,3.285516798565976e-10
2,10.0,1,-8.0,4.3074938527553866e-10,-3.1415926540205428,1.7842232433908332e-10,1.784221560489873e-10,3.141592653159044,4.307494012049637e-10,3.141592653411371,3.141592653411371
3,10.0,1,-8.0,-1.0338769769802742e-10,-3.1415926533401923,-2.4960087755871625e-10,-3.141592653486405,-3.141592653486405,-2.4960074575221453e-10,3.141592653839394,6.283185307076198
4,10.0,1,-8.0,1.3503719688200588e-10,-3.1415926539158017,3.2600826390126015e-10,-3.1415926537248304,-3.1415926537248304,3.260083433821199e-10,-3.1415926539158012,1.3503696160118306e-10
5,10.0,1,-8.0,1.2765168744604819e-09,3.1415926530610427,3.1415926530610423,1.276516558398863e-09,3.1415926523132764,5.287506727964306e-10,5.287505098331364e-10,-3.14159265486631
6,10.0,1,-8.0,8.02661506230881e-11,-3.1415926537835683,1.9377520484114283e-10,-3.14159265367006,3.1415926535095307,1.9377603977924945e-10,3.141592653396017,6.28318530725985
7,10.0,1,-8.0,1.6601519405235347e-10,1.6601528805079326e-10,-3.1415926539905894,4.007963823220024e-10,3.141592653423778,-3.1415926537558083,4.0079635492929353e-10,3.141592653188997
8,10.0,1,-8.0,1.3906950974635014e-10,-3.1415926539255365,3.357435481455768e-10,-3.1415926537288628,-3.1415926537288628,3.357434968019176e-10,-3.1415926539255365,1.3906953451145603e-10
9,10.0,1,-8.0,3.1415926536454264,-1.3431047229442412e-10,-3.1415926534554828,-5.563317410334477e-11,-5.5633290920725194e-11,3.141592653724104,-1.3431052968810453e-10,3.141592653645427
10,10.0,1,-8.0,3.141592652944259,6.45534240353633e-10,3.1415926533224035,-3.141592653857182,-6.283185306534052,-3.1415926542353274,2.6738855876579973e-10,2.6738952372292257e-10
11,10.0,1,-8.0,-3.141592653787231,1.9743774692331701e-10,-3.141592653671575,3.141592653508012,1.9743778729961427e-10,-3.1415926537872307,8.178133841760413e-11,8.178140877866268e-11
12,10.0,1,-8.0,3.3066707624323587e-10,-3.14159265372676,-3.14159265372676,3.306670254164279e-10,3.141592653259126,1.3696679065073318e-10,1.369668055128439e-10,3.1415926532591265
13,10.0,1,-8.0,-1.2553212227595593e-10,-1.255323847781131e-10,-3.141592653286732,-3.0306148318287226e-10,-3.141592653464261,3.1415926537153256,-3.030613841449381e-10,-3.1415926532867315
14,10.0,1,-8.0,-3.141592652487571,-1.1022223522034287e-09,-3.1415926531332374,3.1415926540463492,-1.102222682125206e-09,3.141592654692016,-4.5655551143736883e-10,-4.565556971007913e-10
