timestamp,dataset,n_nodes,u0,steps,cut_value,energy
20260220_182324,k33,6,0.05,1000,5.0,-3.956336833469538e-07
20260221_110048,k33,6,0.05,1000,5.0,-3.956336833469538e-07
20260221_110136,petersen,10,0.05,1000,8.0,-1.9850367653404737e-06
20260221_111432,petersen,10,0.0001,1000,0.0,-14.99930685282065
20260221_111512,petersen,10,1,1000,8.0,6.503830978550901e-09
20260221_120228,petersen,10,0.05,1000,11.0,4.122057060573377e-06
20260221_120353,petersen,10,0.05,10000,11.0,-0.00506144652029875
20260221_121623,petersen,10,0.05,30000,12.0,-8.530407142670615
20260221_121840,k33,6,0.05,10000,9.0,-0.06296450681914773
20260221_124625,k33,6,0.05,10000,9.0,-0.06296450681914773
