u0,seed,cut,energy
0.005,0,12.0,-8.96534264103255
0.005,1,12.0,-8.96534264103255
0.005,2,12.0,-8.96534264103255
0.005,3,12.0,-8.96534264103255
0.005,4,12.0,-8.96534264103255
0.01,0,12.0,-8.9306852820651
0.01,1,12.0,-8.9306852820651
0.01,2,12.0,-8.9306852820651
0.01,3,12.0,-8.9306852820651
0.01,4,12.0,-8.9306852820651
0.02,0,12.0,-8.861370535055057
0.02,1,12.0,-8.86137055430126
0.02,2,12.0,-8.861370544832969
0.02,3,12.0,-8.86137055648286
0.02,4,12.0,-8.861370558050362
0.05,0,12.0,-7.831462461459526
0.05,1,12.0,-8.42694976206548
0.05,2,12.0,-8.140765128987049
0.05,3,12.0,-8.488438217861976
0.05,4,12.0,-8.529833154854316
0.1,0,11.0,-0.0017948419262252603
0.1,1,11.0,-0.03231191420222149
0.1,2,11.0,-0.006931957061717957
0.1,3,11.0,-0.02714302460992318
0.1,4,12.0,-0.023194096423935696
0.2,0,11.0,-1.0535550848460342e-06
0.2,1,11.0,-1.912087389900637e-05
0.2,2,11.0,-4.074745425848328e-06
0.2,3,11.0,-1.6038942454150072e-05
0.2,4,12.0,-1.3678940484385308e-05
0.5,0,11.0,-2.084406502798332e-09
0.5,1,11.0,-6.731627003483454e-08
0.5,2,10.0,-1.0394958168987326e-08
0.5,3,11.0,-5.6738699750257814e-08
0.5,4,12.0,-4.6763258671000287e-08
1.0,0,7.0,8.900002193772155e-10
1.0,1,10.0,-2.0321860433069063e-09
1.0,2,8.0,2.0435173933454056e-09
1.0,3,10.0,-1.7229493010090825e-09
1.0,4,11.0,-5.219882559760698e-10
1.5,0,6.0,7.111503367437093e-10
1.5,1,10.0,4.838377514452592e-10
1.5,2,5.0,1.8092526254179648e-09
1.5,3,10.0,4.4642509148883114e-10
1.5,4,7.0,1.0082033113035564e-09
2.0,0,6.0,5.538812533446528e-10
2.0,1,10.0,7.535654082204148e-10
2.0,2,5.0,1.4431146382254875e-09
2.0,3,10.0,6.826619407961751e-10
2.0,4,7.0,1.0443698315543303e-09
2.5,0,6.0,4.474840816009118e-10
2.5,1,10.0,7.353601148988853e-10
2.5,2,5.0,1.1777539897633455e-09
2.5,3,10.0,6.656818083923945e-10
2.5,4,7.0,9.315842910971716e-10
3.0,0,6.0,3.7346135206811406e-10
3.0,1,9.0,6.703612281933776e-10
3.0,2,5.0,9.882766550340944e-10
3.0,3,10.0,6.068169314713063e-10
3.0,4,7.0,8.168703767684796e-10
3.5,0,6.0,3.1965702710654214e-10
3.5,1,9.0,6.037810839145508e-10
3.5,2,5.0,8.486965661027607e-10
3.5,3,10.0,5.464161538305088e-10
3.5,4,7.0,7.199871502205347e-10
4.0,0,6.0,2.7901812597722684e-10
4.0,1,9.0,5.447650590503953e-10
4.0,2,5.0,7.424168975773613e-10
4.0,3,10.0,4.927939065824935e-10
4.0,4,7.0,6.406900909482691e-10
5.0,0,5.0,2.2199913126770432e-10
5.0,1,9.0,4.5132274521653275e-10
5.0,2,5.0,5.922592061384715e-10
5.0,3,10.0,4.0779540893434886e-10
5.0,4,7.0,5.219693251792657e-10
